25,50,75,100,200,site,var
NA,NA,621.46273429133,2020.72791872569,24083.6497314014,RI,12220
251.076425861567,753.384945967235,1700.81567655411,2639.93728444725,10256.0618874212,MA,12220
966.075469565811,2313.45634928255,3323.00667858406,5269.58931490724,17643.3272286458,FA,12220
267.476412912831,582.9171196362,890.085525527655,1778.44007279165,8595.20310475366,GI,12220
313.182636627927,2589.08934060068,7152.6738178127,12829.9132106558,25584.6876344918,FR,12220
NA,NA,NA,NA,NA,CB,12220
273.476165817934,575.562111138133,899.292899423279,1406.07610658299,7701.89824499969,PI,12220
69.1477914887946,1416.46014811192,2311.26463674236,4667.38645763788,16820.3139092673,BR,12220
268.809337366372,586.091045625508,1043.81227164506,1561.13345867395,5405.65951409301,AR,12220
NA,NA,NA,752.515939000528,2580.18181312084,CR,12220
NA,NA,427.848491605371,900.598996544257,8899.13306470308,HG,12220
1002.76609480148,2051.35796099436,3082.66158781108,4097.89030172548,15223.4505925477,SA,12220
326.54939879803,1479.34017396532,2614.8437051574,5313.04421171377,23602.578956102,PV,12220
280.352743338794,589.608357578516,899.857073641848,1924.21692757308,4796.76805875078,LG,12220
186.239236803725,897.070418037474,1431.12245240249,1943.47942845523,4070.33599059447,CZ,12220
413.047561205924,962.450675308704,1476.89014613256,1983.88240867853,5670.96922523342,HV,12220
NA,NA,NA,311.847607303411,7626.1352457823205,UC,12220
NA,NA,567.686566706747,1478.4808451623,5750.33075849569,CA,12220
244.444296413101,575.510190328583,2408.99752030615,7129.31822428107,19901.8081509327,CO,12220
729.960592852207,2332.45276277978,3276.22393972427,4132.91764171794,9134.38955269684,RO,12220
NA,546.399852046743,1249.05595380813,1821.50102292001,6084.54850626737,OB,12220
422.035972161219,3222.28418195341,6894.82184290653,10033.2696109302,29754.4267215393,PR,12220
NA,625.166372617474,1603.38549692929,3342.3313287748,10376.5877308701,CP,12220
